Expression	Value	Location	Type	
GPIOAx	0x40010800	0x20000004	GPIO_TypeDef *	
GPIOBx	0x40010C00	0x20000008	GPIO_TypeDef *	
GPIOCx	0x40011000	0x2000000C	GPIO_TypeDef *	
GPIODx	0x40011400	0x20000010	GPIO_TypeDef *	
GPIOEx	0x40011800	0x20000014	GPIO_TypeDef *	
gDATABUF	<array>	0x20009278	uint8_t[2][2048]	
OLD_allocated_ip	<array>""	0x2000B74C	uint8_t[4]	
DHCP_allocated_ip		0x2000B750	uint8_t[4]	
mac		0x20000030	uint8_t[6]	
DHCP_CHADDR	0x2000B6A0	0x20000038	uint8_t *	
ConfigMsg	<struct>	0x2000B69C	CONFIG_MSG	
pDHCPMSG	EXTERN_DHCPBUF (0x2000A278)	0x20000044	RIP_MSG *	
SystemConfig	<struct>	0x2000B700	struct <Unnamed 93>	
CTRL_takeover	'e' (0x65)	0x2000B700	uint8_t	
CTRL_delay	' ' (0x20)	0x2000B701	uint8_t	
CTRL_SPKDIM	't' (0x74)	0x2000B702	uint8_t	
CTRL_SPKEQPARAMS	'h' (0x68)	0x2000B703	uint8_t	
CTRL_SPKLEDENABLE	'a' (0x61)	0x2000B704	uint8_t	
CTRL_SPKLOCATE	'n' (0x6E)	0x2000B705	uint8_t	
CTRL_SPKMUTE	' ' (0x20)	0x2000B706	uint8_t	
CTRL_SPKNAME	0x68632032 	0x2000B708	char *	
CTRL_SPKSTANDBYDLY	'a' (0x61)	0x2000B70C	uint8_t	
CTRL_SPKSTANDBYENABLE	'r' (0x72)	0x2000B70D	uint8_t	
CTRL_SPKTRIM_INC	'a' (0x61)	0x2000B70E	uint8_t	
CTRL_SPKTRIMLEVEL	'c' (0x63)	0x2000B70F	uint8_t	
